score,??,??,??,??,??,PF,????,????,????,????,????,????,????,??,???,??R
-8.5149,??????_w45_ATR2.2_RSI56/44_12x_8%_3.5R_???,27,29.63,13.86,14.18,1.26,84.92,-28.46,4,9,6.51,14.18,-1.19,12,0.08,3.5
-8.8564,??????_w40_ATR2.4_RSI52/48_12x_7%_3.2R_???,26,30.77,13.49,13.53,1.28,77.12,-26.78,4,9,4.16,13.53,1.66,12,0.07,3.2
-8.8564,??????_w40_ATR2.4_RSI54/46_12x_7%_3.2R_???,26,30.77,13.49,13.53,1.28,77.12,-26.78,4,9,4.16,13.53,1.66,12,0.07,3.2
-8.8564,??????_w40_ATR2.4_RSI56/44_12x_7%_3.2R_???,26,30.77,13.49,13.53,1.28,77.12,-26.78,4,9,4.16,13.53,1.66,12,0.07,3.2
-9.0135,??????_w40_ATR2.4_RSI52/48_8x_9%_3.2R_???,26,30.77,11.86,11.69,1.29,66.17,-22.82,4,9,3.72,11.69,1.59,8,0.09,3.2
-9.0135,??????_w40_ATR2.4_RSI54/46_8x_9%_3.2R_???,26,30.77,11.86,11.69,1.29,66.17,-22.82,4,9,3.72,11.69,1.59,8,0.09,3.2
-9.0135,??????_w40_ATR2.4_RSI56/44_8x_9%_3.2R_???,26,30.77,11.86,11.69,1.29,66.17,-22.82,4,9,3.72,11.69,1.59,8,0.09,3.2
-9.081,??????_w40_ATR2.4_RSI52/48_12x_7%_3.5R_???,25,28.0,12.36,13.5,1.27,83.82,-25.73,6,8,7.97,13.53,-3.67,12,0.07,3.5
-9.081,??????_w40_ATR2.4_RSI54/46_12x_7%_3.5R_???,25,28.0,12.36,13.5,1.27,83.82,-25.73,6,8,7.97,13.53,-3.67,12,0.07,3.5
-9.081,??????_w40_ATR2.4_RSI56/44_12x_7%_3.5R_???,25,28.0,12.36,13.5,1.27,83.82,-25.73,6,8,7.97,13.53,-3.67,12,0.07,3.5
-9.1181,??????_w35_ATR2.2_RSI52/48_10x_10%_3.5R_???,27,29.63,15.73,14.74,1.27,91.28,-30.16,4,9,6.71,14.74,-0.08,10,0.1,3.5
-9.1181,??????_w35_ATR2.2_RSI54/46_10x_10%_3.5R_???,27,29.63,15.73,14.74,1.27,91.28,-30.16,4,9,6.71,14.74,-0.08,10,0.1,3.5
