策略,退出,杠杆,保证金,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,盈亏因子,平均盈利,平均亏损,最大连亏,止盈,信号退出,止损,时间退出,强平,平均持仓小时
FisherHull_15m,固定1.5%止盈_1%止损,3x,10%,721,39.67%,-23.53%,764.73,24.63%,305,-7.96%,0.81,3.54,-2.87,9,283,0,435,2,0,8.93
FisherHull_15m,固定1.5%止盈_1%止损,3x,20%,721,39.67%,-42.09%,579.14,43.68%,305,-15.63%,0.81,6.08,-4.97,9,283,0,435,2,0,8.93
FisherHull_15m,固定1.5%止盈_1%止损,5x,10%,721,39.67%,-36.39%,636.06,37.88%,305,-13.11%,0.81,5.33,-4.34,9,283,0,435,2,0,8.93
FisherHull_15m,固定1.5%止盈_1%止损,5x,20%,721,39.67%,-60.62%,393.78,62.32%,305,-25.36%,0.80,8.33,-6.87,9,283,0,435,2,0,8.93
FisherHull_15m,固定2%止盈_1.5%止损,3x,10%,436,41.06%,-21.23%,787.75,22.77%,187,-8.65%,0.80,4.85,-4.21,8,176,0,256,3,0,16.41
FisherHull_15m,固定2%止盈_1.5%止损,3x,20%,436,41.06%,-38.66%,613.36,40.95%,187,-16.96%,0.80,8.40,-7.35,8,176,0,256,3,0,16.41
FisherHull_15m,固定2%止盈_1.5%止损,5x,10%,436,41.06%,-33.24%,667.58,35.35%,187,-14.23%,0.80,7.34,-6.41,8,176,0,256,3,0,16.41
FisherHull_15m,固定2%止盈_1.5%止损,5x,20%,436,41.06%,-56.85%,431.48,59.36%,187,-27.46%,0.78,11.57,-10.27,8,176,0,256,3,0,16.41
FisherHull_15m,固定3%止盈_2%止损,3x,10%,252,37.30%,-17.72%,822.79,21.90%,109,-10.46%,0.80,7.73,-5.72,11,92,0,156,3,0,30.93
FisherHull_15m,固定3%止盈_2%止损,3x,20%,252,37.30%,-33.19%,668.15,39.60%,109,-20.27%,0.80,14.02,-10.44,11,92,0,156,3,0,30.93
FisherHull_15m,固定3%止盈_2%止损,5x,10%,252,37.30%,-28.28%,717.21,34.12%,109,-17.07%,0.80,12.07,-8.97,11,92,0,156,3,0,30.93
FisherHull_15m,固定3%止盈_2%止损,5x,20%,252,37.30%,-50.40%,495.99,57.83%,109,-32.29%,0.79,20.53,-15.41,11,92,0,156,3,0,30.93
FisherHull_15m,信号退出_2%止损,3x,10%,648,72.22%,-22.11%,778.93,23.47%,253,-6.72%,0.77,1.62,-5.45,7,0,468,179,0,0,8.36
FisherHull_15m,信号退出_2%止损,3x,20%,648,72.22%,-39.98%,600.20,42.01%,253,-13.44%,0.76,2.78,-9.44,7,0,468,179,0,0,8.36
FisherHull_15m,信号退出_2%止损,5x,10%,648,72.22%,-34.45%,655.47,36.33%,253,-11.20%,0.77,2.44,-8.25,7,0,468,179,0,0,8.36
FisherHull_15m,信号退出_2%止损,5x,20%,648,72.22%,-58.31%,416.88,60.56%,253,-22.28%,0.75,3.79,-13.08,7,0,468,179,0,0,8.36
FisherHull_15m,自定义锁盈_4%止损,3x,10%,427,83.61%,-17.37%,826.28,20.08%,160,-7.62%,0.77,1.66,-10.97,4,0,355,71,0,0,14.56
FisherHull_15m,自定义锁盈_4%止损,3x,20%,427,83.61%,-32.64%,673.61,36.81%,160,-15.22%,0.76,2.96,-19.74,4,0,355,71,0,0,14.56
FisherHull_15m,自定义锁盈_4%止损,5x,10%,427,83.61%,-27.78%,722.17,31.57%,160,-12.70%,0.77,2.56,-17.04,4,0,355,71,0,0,14.56
FisherHull_15m,自定义锁盈_4%止损,5x,20%,427,83.61%,-49.78%,502.16,54.66%,160,-25.17%,0.75,4.21,-28.58,4,0,355,71,0,0,14.56
FisherHull_15m,信号退出_8%止损,3x,10%,197,88.32%,-11.62%,883.82,17.47%,94,-3.72%,0.77,2.26,-22.15,3,0,174,22,0,0,37.44
FisherHull_15m,信号退出_8%止损,3x,20%,197,88.32%,-23.11%,768.87,32.61%,94,-8.02%,0.76,4.10,-41.05,3,0,174,22,0,0,37.44
FisherHull_15m,信号退出_8%止损,5x,10%,197,88.32%,-19.31%,806.87,27.81%,94,-6.53%,0.76,3.53,-35.10,3,0,174,22,0,0,37.44
FisherHull_15m,信号退出_8%止损,5x,20%,197,88.32%,-37.77%,622.26,49.46%,94,-14.51%,0.73,5.95,-61.40,3,0,174,22,0,0,37.44
FisherHull_15m,固定2%止盈_4%止损,3x,10%,199,64.32%,-12.10%,879.01,16.54%,86,-7.73%,0.85,5.24,-11.15,4,128,0,68,2,0,38.26
FisherHull_15m,固定2%止盈_4%止损,3x,20%,199,64.32%,-23.86%,761.40,31.09%,86,-15.42%,0.84,9.65,-20.75,4,128,0,68,2,0,38.26
FisherHull_15m,固定2%止盈_4%止损,5x,10%,199,64.32%,-19.99%,800.06,26.46%,86,-12.87%,0.84,8.27,-17.72,4,128,0,68,2,0,38.26
FisherHull_15m,固定2%止盈_4%止损,5x,20%,199,64.32%,-38.57%,614.26,47.53%,86,-25.46%,0.83,14.32,-31.25,4,128,0,68,2,0,38.26
FisherHull_15m,自定义锁盈_8%止损,3x,10%,198,88.38%,-11.73%,882.69,17.57%,94,-3.72%,0.77,2.24,-22.13,3,0,174,23,0,0,37.25
FisherHull_15m,自定义锁盈_8%止损,3x,20%,198,88.38%,-23.30%,766.96,32.78%,94,-8.02%,0.75,4.05,-40.97,3,0,174,23,0,0,37.25
FisherHull_15m,自定义锁盈_8%止损,5x,10%,198,88.38%,-19.48%,805.19,27.96%,94,-6.53%,0.76,3.49,-35.05,3,0,174,23,0,0,37.25
FisherHull_15m,自定义锁盈_8%止损,5x,20%,198,88.38%,-38.02%,619.78,49.66%,94,-14.51%,0.73,5.87,-61.22,3,0,174,23,0,0,37.25
FisherHull_15m,自定义锁盈_12%止损,3x,10%,142,92.96%,-7.34%,926.62,13.88%,64,-1.04%,0.79,2.07,-34.60,2,0,130,11,0,0,54.82
FisherHull_15m,自定义锁盈_12%止损,3x,20%,142,92.96%,-15.38%,846.21,26.70%,64,-2.61%,0.77,3.90,-66.82,2,0,130,11,0,0,54.82
FisherHull_15m,自定义锁盈_12%止损,5x,10%,142,92.96%,-12.63%,873.68,22.55%,64,-2.03%,0.78,3.31,-56.37,2,0,130,11,0,0,54.82
FisherHull_15m,自定义锁盈_12%止损,5x,20%,142,92.96%,-26.84%,731.59,42.05%,64,-5.55%,0.75,5.96,-105.50,2,0,130,11,0,0,54.82
NASOS_EWO_15m,固定1%止盈_1%止损,3x,10%,184,46.20%,-9.84%,901.64,10.20%,75,-5.64%,0.69,2.54,-3.17,5,85,0,99,0,0,5.66
NASOS_EWO_15m,固定1%止盈_1%止损,3x,20%,184,46.20%,-18.84%,811.56,19.48%,75,-11.03%,0.69,4.83,-6.05,5,85,0,99,0,0,5.66
NASOS_EWO_15m,固定1%止盈_1%止损,5x,10%,184,46.20%,-15.93%,840.70,16.49%,75,-9.26%,0.69,4.09,-5.12,5,85,0,99,0,0,5.66
NASOS_EWO_15m,固定1%止盈_1%止损,5x,20%,184,46.20%,-29.66%,703.43,30.57%,75,-17.83%,0.68,7.52,-9.45,5,85,0,99,0,0,5.66
NASOS_EWO_15m,固定1.5%止盈_1%止损,3x,10%,181,37.57%,-8.96%,910.35,9.79%,74,-5.06%,0.75,3.98,-3.19,9,68,0,113,0,0,8.11
NASOS_EWO_15m,固定1.5%止盈_1%止损,3x,20%,181,37.57%,-17.33%,826.73,18.79%,74,-9.95%,0.75,7.60,-6.10,9,68,0,113,0,0,8.11
NASOS_EWO_15m,固定1.5%止盈_1%止损,5x,10%,181,37.57%,-14.61%,853.94,15.87%,74,-8.34%,0.75,6.43,-5.16,9,68,0,113,0,0,8.11
NASOS_EWO_15m,固定1.5%止盈_1%止损,5x,20%,181,37.57%,-27.57%,724.31,29.64%,74,-16.21%,0.75,11.89,-9.60,9,68,0,113,0,0,8.11
NASOS_EWO_15m,固定2%止盈_1.5%止损,3x,10%,155,35.48%,-16.12%,838.82,16.25%,64,-9.51%,0.64,5.21,-4.47,11,54,0,100,1,0,14.53
NASOS_EWO_15m,固定2%止盈_1.5%止损,3x,20%,155,35.48%,-29.92%,700.76,30.14%,64,-18.25%,0.64,9.65,-8.30,11,54,0,100,1,0,14.53
NASOS_EWO_15m,固定2%止盈_1.5%止损,5x,10%,155,35.48%,-25.56%,744.39,25.76%,64,-15.42%,0.64,8.25,-7.09,11,54,0,100,1,0,14.53
NASOS_EWO_15m,固定2%止盈_1.5%止损,5x,20%,155,35.48%,-45.21%,547.87,45.49%,64,-28.79%,0.64,14.58,-12.54,11,54,0,100,1,0,14.53
NASOS_EWO_15m,固定3%止盈_2%止损,3x,10%,118,33.05%,-14.77%,852.33,17.16%,49,-6.41%,0.67,7.85,-5.74,9,39,0,78,0,0,32.47
NASOS_EWO_15m,固定3%止盈_2%止损,3x,20%,118,33.05%,-27.79%,722.09,31.68%,49,-12.63%,0.67,14.22,-10.54,9,39,0,78,0,0,32.47
NASOS_EWO_15m,固定3%止盈_2%止损,5x,10%,118,33.05%,-23.64%,763.64,27.11%,49,-10.58%,0.67,12.24,-9.04,9,39,0,78,0,0,32.47
NASOS_EWO_15m,固定3%止盈_2%止损,5x,20%,118,33.05%,-42.65%,573.45,47.54%,49,-20.59%,0.66,20.78,-15.66,9,39,0,78,0,0,32.47
