策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
趋势回踩_20x_10%_1R_24H,20,0.1000,1.0,24.0,139,41.01,-54.00,55.76,0.68,20.26,-20.67,10,0,53,-18.61,33.02,32.87
趋势回踩_15x_12%_3R_不限时,15,0.1200,3.0,,52,25.00,-36.51,48.74,0.73,75.71,-34.60,8,1,19,-5.88,42.72,111.35
趋势突破_15x_20%_3R_不限时,15,0.2000,3.0,,26,30.77,8.82,42.90,1.05,222.51,-93.99,4,1,13,-2.65,62.50,335.81
趋势突破_15x_10%_1.2R_不限时,15,0.1000,1.2,,59,44.07,-19.00,30.57,0.87,50.79,-45.78,3,2,19,-3.36,30.57,78.51
摸底摸顶_50x_10%_2.5R_4H,50,0.1000,2.5,4.0,29,31.03,-23.70,27.84,0.61,41.50,-30.52,6,2,13,-8.62,17.45,30.08
趋势回踩_15x_15%_2.5R_不限时,15,0.1500,2.5,,60,30.00,-33.28,54.18,0.83,92.56,-47.59,7,1,20,-1.35,42.54,129.12
趋势突破_10x_20%_0.8R_不限时,10,0.2000,0.8,,77,51.95,-45.28,51.30,0.77,38.60,-53.97,4,0,26,-21.00,49.38,63.83
摸底摸顶_30x_20%_1.2R_24H,30,0.2000,1.2,24.0,27,37.04,-40.27,45.07,0.62,64.61,-61.69,8,0,13,-36.44,45.07,69.64
动量突破_15x_5%_0.8R_12H,15,0.0500,0.8,12.0,159,37.74,-32.40,33.57,0.59,7.74,-7.96,11,1,53,-20.32,25.69,10.62
动量突破_10x_25%_1R_4H,10,0.2500,1.0,4.0,169,40.24,-35.83,43.05,0.78,18.42,-15.95,11,0,55,-35.90,41.35,17.31
趋势回踩_15x_8%_1R_不限时,15,0.0800,1.0,,94,44.68,-39.26,43.54,0.67,19.25,-23.10,7,1,37,-13.14,21.40,25.32
动量突破_10x_12%_1.5R_不限时,10,0.1200,1.5,,103,37.86,-39.74,48.78,0.78,35.43,-27.80,11,0,35,-29.76,44.68,43.98
趋势回踩_15x_20%_1.5R_4H,15,0.2000,1.5,4.0,278,39.93,-66.86,69.15,0.58,8.39,-9.58,14,0,104,-2.87,25.29,21.15
趋势回踩_20x_15%_1.5R_4H,20,0.1500,1.5,4.0,278,39.93,-66.86,69.15,0.58,8.39,-9.58,14,0,104,-2.87,25.29,21.15
摸底摸顶_20x_25%_3R_24H,20,0.2500,3.0,24.0,27,25.93,-46.43,47.62,0.49,63.10,-45.30,10,0,13,-32.28,41.59,95.57
趋势突破_20x_5%_2R_24H,20,0.0500,2.0,24.0,66,45.45,-20.80,23.17,0.69,15.33,-18.55,7,2,23,-7.67,21.77,24.93
摸底摸顶_20x_25%_0.8R_不限时,20,0.2500,0.8,,27,40.74,-44.01,44.01,0.49,38.74,-54.14,4,0,13,-34.15,39.33,45.51
趋势回踩_15x_15%_1.5R_12H,15,0.1500,1.5,12.0,181,43.65,-49.01,55.76,0.73,17.07,-18.02,9,0,68,-21.36,34.86,23.58
趋势回踩_20x_20%_2.5R_24H,20,0.2000,2.5,24.0,135,40.74,-44.91,64.74,0.88,59.53,-46.54,10,0,50,-12.50,53.89,91.21
摸底摸顶_20x_20%_2.5R_不限时,20,0.2000,2.5,,26,19.23,-51.91,52.26,0.38,62.85,-39.68,8,0,13,-31.43,31.92,97.99
摸底摸顶_30x_15%_3R_不限时,30,0.1500,3.0,,26,19.23,-51.72,52.71,0.45,83.07,-44.41,8,0,13,-31.59,32.99,128.99
趋势回踩_15x_20%_1.2R_4H,15,0.2000,1.2,4.0,278,39.93,-67.56,69.88,0.57,8.15,-9.46,14,0,104,-2.48,25.29,21.36
趋势回踩_20x_15%_1.2R_4H,20,0.1500,1.2,4.0,278,39.93,-67.56,69.88,0.57,8.15,-9.46,14,0,104,-2.48,25.29,21.36
动量突破_10x_12%_0.8R_8H,10,0.1200,0.8,8.0,163,37.42,-48.62,49.24,0.50,7.94,-9.52,10,0,55,-27.86,30.72,10.15
趋势突破_15x_8%_1R_8H,15,0.0800,1.0,8.0,91,36.26,-36.37,36.37,0.44,8.81,-11.29,11,1,31,-17.83,23.48,13.57
摸底摸顶_50x_10%_2R_4H,50,0.1000,2.0,4.0,29,31.03,-25.22,27.94,0.58,39.42,-30.35,6,2,13,-8.62,17.45,30.08
