策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
1H唐奇安趋势_L48_EMA200_ADX20_S2.4_5x_15%_T2.4_3.0R_336H,5,0.15,160,78,82,41.25%,-15.77%,842.26,19.58%,10.67%,0.78,-0.99,8.62,-7.73,66.15,-23.53,12,0,55,-6.51%,18.36%,0.80,12.34
1H波动压缩突破_R48_Q0.2_S2.2_8x_20%_T3_无固定止盈_96H,8,0.20,36,17,19,36.11%,-7.72%,922.79,18.42%,17.05%,0.80,-2.14,23.81,-16.82,50.95,-35.43,8,0,22,-14.81%,17.05%,0.47,13.33
1H波动压缩突破_R48_Q0.2_S2.2_8x_20%_T3_无固定止盈_168H,8,0.20,36,17,19,36.11%,-7.72%,922.79,18.42%,17.05%,0.80,-2.14,23.81,-16.82,50.95,-35.43,8,0,22,-14.81%,17.05%,0.47,13.33
1H波动压缩突破_R48_Q0.2_S2.2_8x_20%_T3_无固定止盈_336H,8,0.20,36,17,19,36.11%,-7.72%,922.79,18.42%,17.05%,0.80,-2.14,23.81,-16.82,50.95,-35.43,8,0,22,-14.81%,17.05%,0.47,13.33
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_15%_T2.4_无固定止盈_96H,8,0.15,45,19,26,40.00%,-8.98%,910.23,23.35%,7.31%,0.86,-1.99,31.01,-24.00,116.31,-61.62,5,0,16,-11.79%,21.13%,0.57,43.43
4H唐奇安趋势_L60_EMA180_ADX22_S2.4_8x_10%_T2.4_无固定止盈_96H,8,0.10,40,18,22,30.00%,-18.95%,810.53,20.06%,6.35%,0.51,-4.74,16.50,-13.84,67.16,-33.67,6,0,15,-9.12%,15.17%,0.51,38.16
4H唐奇安趋势_L20_EMA180_ADX18_S2.4_8x_10%_T3_3.0R_96H,8,0.10,59,26,33,35.59%,-6.71%,932.86,24.10%,11.27%,0.90,-1.14,28.60,-17.57,85.50,-49.05,8,0,23,-9.24%,24.10%,0.73,55.30
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T2.4_无固定止盈_96H,8,0.15,43,19,24,37.21%,-10.45%,895.49,21.88%,7.31%,0.83,-2.43,31.67,-22.64,113.47,-60.11,6,0,15,-11.05%,19.62%,0.56,43.19
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_10x_15%_T3_3.0R_96H,10,0.15,52,23,29,42.31%,3.47%,1034.73,32.37%,21.77%,1.03,0.67,55.68,-39.67,172.21,-122.43,7,0,19,-6.29%,32.37%,0.88,53.92
1H唐奇安趋势_L72_EMA150_ADX20_S2.4_5x_15%_T3_无固定止盈_168H,5,0.15,120,57,63,35.00%,-9.56%,904.44,18.73%,9.18%,0.85,-0.80,13.03,-8.24,100.05,-25.66,13,0,42,-9.13%,18.73%,0.67,19.81
1H唐奇安趋势_L72_EMA150_ADX20_S2.4_5x_15%_T3_无固定止盈_336H,5,0.15,120,57,63,35.00%,-9.56%,904.44,18.73%,9.18%,0.85,-0.80,13.03,-8.24,100.05,-25.66,13,0,42,-9.13%,18.73%,0.67,19.81
1H唐奇安趋势_L96_EMA200_ADX24_S2.4_5x_10%_T3_无固定止盈_168H,5,0.10,102,51,51,35.29%,-10.69%,893.09,16.46%,5.99%,0.74,-1.05,8.51,-6.26,66.25,-16.85,13,0,38,-10.25%,16.46%,0.52,20.02
1H唐奇安趋势_L96_EMA200_ADX24_S2.4_5x_10%_T3_无固定止盈_336H,5,0.10,102,51,51,35.29%,-10.69%,893.09,16.46%,5.99%,0.74,-1.05,8.51,-6.26,66.25,-16.85,13,0,38,-10.25%,16.46%,0.52,20.02
4H唐奇安趋势_L40_EMA120_ADX18_S2.4_5x_10%_T2.4_3.0R_336H,5,0.10,53,24,29,32.08%,-10.28%,897.16,15.63%,5.90%,0.71,-1.94,14.90,-9.89,50.34,-29.32,14,0,20,-11.22%,15.01%,0.32,51.31
4H唐奇安趋势_L60_EMA120_ADX18_S2.4_8x_10%_T3_无固定止盈_336H,8,0.10,38,17,21,34.21%,-10.13%,898.71,20.70%,11.32%,0.78,-2.67,27.99,-18.60,88.88,-49.02,7,0,15,-10.37%,20.70%,0.57,71.66
4H唐奇安趋势_L40_EMA180_ADX18_S2.4_8x_20%_T3_3.0R_96H,8,0.20,50,23,27,40.00%,2.72%,1027.19,33.03%,23.07%,1.02,0.54,62.19,-40.55,180.41,-130.44,7,0,18,-5.29%,33.03%,0.90,54.47
