??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2026-04-12 04:00,2026-04-12 09:30,73666.97,72340.96,72340.96,75156.51,????,-100.00,5.50,4H??40??
????,??,2026-04-14 08:00,2026-04-14 22:30,74392.84,75889.47,73053.77,75897.06,??,95.54,14.50,4H??40??
????,??,2026-04-15 00:00,2026-04-15 02:45,75287.93,73932.75,73932.75,76810.25,????,-100.00,2.75,4H??40??
????,??,2026-04-18 00:00,2026-04-18 18:00,77747.87,76348.41,76348.41,79319.94,????,-100.00,18.00,4H??40??
????,??,2026-04-23 00:00,2026-04-23 08:15,79241.02,77814.68,77814.68,80843.28,????,-100.00,8.25,4H??40??
????,??,2026-05-04 12:00,2026-05-04 18:00,80292.73,78847.46,78847.46,81916.25,????,-100.00,6.00,4H??40??
????,??,2026-05-05 12:00,2026-05-06 19:15,80856.68,82483.36,79401.26,82491.61,??,95.54,31.25,4H??40??
????,??,2026-05-06 00:00,2026-05-07 22:30,81492.55,80025.68,80025.68,83140.33,????,-100.00,46.50,4H??40??
????,??,2026-05-06 20:00,2026-05-07 07:00,82498.25,81013.28,81013.28,84166.36,????,-100.00,11.00,4H??40??
????,??,2026-05-16 16:00,2026-05-18 07:30,78325.57,76749.50,79735.43,76741.82,??,95.66,39.50,4H??40??
????,??,2026-05-18 08:00,2026-05-23 03:30,77407.26,75849.67,78800.59,75842.08,??,95.66,115.50,4H??40??
????,??,2026-05-19 00:00,2026-05-20 23:15,76376.36,77751.14,77751.14,74832.03,????,-100.00,47.25,4H??40??
????,??,2026-05-23 04:00,2026-05-23 15:45,75822.82,74297.11,77187.63,74289.68,??,95.66,11.75,4H??40??
????,??,2026-05-23 08:00,2026-05-24 04:30,75501.15,76860.17,76860.17,73974.52,????,-100.00,20.50,4H??40??
????,??,2026-05-23 16:00,2026-05-24 02:30,74568.84,75911.08,75911.08,73061.06,????,-100.00,10.50,4H??40??
????,??,2026-05-28 12:00,2026-05-29 09:30,73220.68,73510.05,74538.65,71740.16,????,-100.00,21.50,4H??40??
????,??,2025-08-01 20:00,2025-08-02 03:30,115255.52,113180.92,113180.92,117585.99,????,-100.00,7.50,???60????
????,??,2025-08-02 00:00,2025-08-02 03:15,115324.13,113248.30,113248.30,117655.99,????,-100.00,3.25,???60????
????,??,2025-08-11 16:00,2025-08-12 03:45,121533.75,119088.24,123721.35,119076.33,??,95.66,11.75,???60????
????,??,2025-08-30 08:00,2025-09-02 11:15,108346.63,110526.35,106396.39,110537.40,??,95.54,75.25,???60????
????,??,2025-08-30 12:00,2025-09-02 11:15,108397.24,110577.97,106446.09,110589.03,??,95.54,71.25,???60????
????,??,2025-09-12 12:00,2025-09-17 14:45,115131.59,117203.95,117203.95,112803.63,????,-100.00,122.75,???60????
