win,ret,dd,pf,trades,liq,window,prox,rsi_low,rsi_high,mode,wick,stop_frac,tp_r,final
86.11111111111111,4.45689124505293,6.355382862217118,1.272670549974832,36,0,120,0.03,38,62,4,0.5,0.7,0.25,1044.5689124505293
86.11111111111111,4.178414487406856,8.57470083841,1.2153221172590962,36,1,80,0.016,35,65,3,0.4,0.8,0.25,1041.7841448740685
86.11111111111111,4.178414487406856,8.57470083841,1.2153221172590962,36,1,80,0.016,35,65,4,0.4,0.8,0.25,1041.7841448740685
86.0,6.1524275478079815,8.574700838409989,1.2304085739143282,50,1,80,0.008,35,65,1,0.0,0.8,0.25,1061.5242754780797
86.0,6.1524275478079815,8.574700838409989,1.2304085739143282,50,1,80,0.008,35,65,2,0.0,0.8,0.25,1061.5242754780797
85.96491228070175,7.153685020601808,9.601189106427576,1.232604232936653,57,1,120,0.03,35,65,1,0.0,0.8,0.25,1071.536850206018
85.96491228070175,7.153685020601808,9.601189106427576,1.232604232936653,57,1,120,0.03,35,65,2,0.0,0.8,0.25,1071.536850206018
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,60,0.012,35,65,3,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,60,0.012,35,65,4,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,60,0.016,35,65,3,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,60,0.016,35,65,4,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,80,0.016,35,65,3,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,9.68462218074575,6.541916360084644,1.8279026116094035,21,0,80,0.016,35,65,4,0.6,0.8,0.35,1096.8462218074576
85.71428571428571,8.148276777073281,5.484266109232971,1.7929997545540883,21,0,80,0.012,35,65,3,0.6,0.7,0.35,1081.4827677707328
85.71428571428571,8.148276777073281,5.484266109232971,1.7929997545540883,21,0,80,0.012,35,65,4,0.6,0.7,0.35,1081.4827677707328
85.71428571428571,8.146870754207502,5.485494897032374,1.7928697547264885,21,0,120,0.03,35,65,3,0.6,0.7,0.35,1081.468707542075
85.71428571428571,8.146870754207502,5.485494897032374,1.7928697547264885,21,0,120,0.03,35,65,4,0.6,0.7,0.35,1081.468707542075
85.71428571428571,6.320013616832143,8.574700838409989,1.2073196763258707,56,1,40,0.008,35,65,1,0.0,0.8,0.25,1063.2001361683215
85.71428571428571,6.320013616832143,8.574700838409989,1.2073196763258707,56,1,40,0.008,35,65,2,0.0,0.8,0.25,1063.2001361683215
85.71428571428571,6.3188849154662385,12.802023029217635,1.2086410481483316,56,1,120,0.03,42,58,3,0.4,0.8,0.25,1063.1888491546624
85.71428571428571,6.3188849154662385,12.802023029217635,1.2086410481483316,56,1,120,0.03,42,58,4,0.4,0.8,0.25,1063.1888491546624
85.71428571428571,6.317756226082838,11.009907415986742,1.2071411191615034,56,1,60,0.016,35,65,1,0.0,0.8,0.25,1063.1775622608284
85.71428571428571,6.317756226082838,11.009907415986742,1.2071411191615034,56,1,60,0.016,35,65,2,0.0,0.8,0.25,1063.1775622608284
85.71428571428571,4.331285081440872,10.294342063196078,1.1864844237429892,42,1,120,0.03,38,62,3,0.4,0.8,0.25,1043.3128508144086
85.71428571428571,4.331285081440872,10.294342063196078,1.1864844237429892,42,1,120,0.03,38,62,4,0.4,0.8,0.25,1043.3128508144086
